term,home_ownership,grade,purpose,int_rate,addr_state,loan_status,application_type,loan_amnt,emp_length,annual_inc,dti,delinq_2yrs,revol_util,total_acc,num_tl_90g_dpd_24m,dti_joint,term_cleaned,emplen_cleaned,revolutil_cleaned,rev_avg,dti_cleaned,bad_loan
60 months,OWN,B,debt_consolidation,10.47%,MT,Current,Individual,12000,1 year,42900.0,30.1,0,22.60%,14,0,"",60,1,22.0,43.76206961077844,30.1,No
36 months,RENT,D,debt_consolidation,17.97%,VA,Current,Joint App,18500,10+ years,58000.0,49.6,0,93.80%,31,0,37.89,36,10,93.0,43.76206961077844,49.6,No
36 months,MORTGAGE,A,credit_card,6.67%,CA,Current,Individual,19000,3 years,80000.0,12.59,0,51.50%,26,0,"",36,3,51.0,43.76206961077844,12.59,No
60 months,MORTGAGE,B,credit_card,10.08%,NC,Current,Individual,12000,< 1 year,83000.0,12.72,0,14.10%,25,0,"",60,1,14.0,43.76206961077844,12.72,No
36 months,MORTGAGE,B,medical,12.73%,FL,Current,Individual,2000,10+ years,45000.0,32.35,0,71.10%,18,0,"",36,10,71.0,43.76206961077844,32.35,No
36 months,RENT,D,house,19.92%,CA,Current,Individual,30000,< 1 year,270000.0,6.82,0,66.10%,29,0,"",36,1,66.0,43.76206961077844,6.82,No
60 months,OWN,A,debt_consolidation,7.84%,TX,Current,Individual,16000,10+ years,120000.0,20.35,0,13.60%,24,0,"",60,10,13.0,43.76206961077844,20.35,No
60 months,RENT,C,credit_card,15.02%,NC,Current,Individual,16000,7 years,72000.0,14.0,0,65.40%,20,0,"",60,7,65.0,43.76206961077844,14.0,No
36 months,RENT,C,debt_consolidation,14.47%,FL,Current,Individual,9250,n/a,30600.0,30.43,0,61.70%,10,0,"",36,"",61.0,43.76206961077844,30.43,No
36 months,MORTGAGE,A,credit_card,8.46%,TX,Current,Individual,30000,10+ years,127000.0,14.08,1,79.50%,12,0,"",36,10,79.0,43.76206961077844,14.08,No
36 months,RENT,D,debt_consolidation,19.92%,OK,Current,Individual,10000,1 year,28000.0,5.53,0,78.40%,18,0,"",36,1,78.0,43.76206961077844,5.53,No
36 months,RENT,A,other,8.46%,CA,Current,Individual,3800,3 years,140000.0,13.92,0,"",22,0,"",36,3,43.76206961077844,43.76206961077844,13.92,No
36 months,MORTGAGE,A,debt_consolidation,6.67%,TX,Current,Individual,40000,3 years,90000.0,8.64,0,0%,11,0,"",36,3,0.0,43.76206961077844,8.64,No
60 months,MORTGAGE,A,credit_card,6.67%,IL,Current,Individual,25000,9 years,80000.0,16.23,0,56.20%,20,0,"",60,9,56.0,43.76206961077844,16.23,No
60 months,MORTGAGE,C,debt_consolidation,16.91%,TX,Current,Individual,32000,6 years,97000.0,24.78,1,29.50%,45,1,"",60,6,29.0,43.76206961077844,24.78,No
36 months,MORTGAGE,A,debt_consolidation,8.46%,TN,Fully Paid,Individual,5000,n/a,36000.0,25.93,0,10.50%,24,0,"",36,"",10.0,43.76206961077844,25.93,No
36 months,OWN,C,other,15.02%,NY,Current,Individual,7000,8 years,45000.0,8.24,0,62.90%,6,0,"",36,8,62.0,43.76206961077844,8.24,No
36 months,MORTGAGE,C,debt_consolidation,16.14%,CO,Current,Joint App,16000,2 years,39000.0,27.2,1,38.20%,12,0,20.46,36,2,38.0,43.76206961077844,27.2,No
60 months,MORTGAGE,B,debt_consolidation,10.47%,CA,Current,Individual,35000,2 years,275000.0,20.54,0,70.80%,31,0,"",60,2,70.0,43.76206961077844,20.54,No
60 months,MORTGAGE,B,small_business,10.08%,AR,Current,Joint App,40000,n/a,47000.0,43.51,0,22.80%,45,0,14.64,60,"",22.0,43.76206961077844,43.51,No
36 months,OWN,B,debt_consolidation,12.73%,MN,Current,Joint App,12000,1 year,30000.0,13.48,0,20%,19,0,17.18,36,1,20.0,43.76206961077844,13.48,No
36 months,RENT,C,debt_consolidation,16.14%,NJ,Fully Paid,Individual,6000,5 years,41600.0,28.62,1,13.10%,13,0,"",36,5,13.0,43.76206961077844,28.62,No
36 months,RENT,A,debt_consolidation,6.11%,SC,Current,Individual,10000,1 year,90000.0,7.16,0,57.60%,12,0,"",36,1,57.0,43.76206961077844,7.16,No
60 months,MORTGAGE,C,debt_consolidation,14.47%,OR,Current,Joint App,19200,10+ years,112000.0,41.88,0,74%,24,0,36.75,60,10,74.0,43.76206961077844,41.88,No
36 months,MORTGAGE,B,debt_consolidation,10.08%,OR,Current,Joint App,19000,10+ years,34000.0,8.68,1,36.90%,22,0,4.29,36,10,36.0,43.76206961077844,8.68,No
36 months,RENT,B,credit_card,11.55%,PA,Current,Individual,14000,10+ years,90000.0,23.4,0,65.60%,37,0,"",36,10,65.0,43.76206961077844,23.4,No
36 months,MORTGAGE,C,home_improvement,16.91%,FL,Current,Individual,10000,10+ years,52000.0,17.66,1,19.10%,24,1,"",36,10,19.0,43.76206961077844,17.66,No
60 months,OWN,C,debt_consolidation,15.02%,CA,Current,Individual,27850,3 years,69000.0,23.01,0,50.90%,21,0,"",60,3,50.0,43.76206961077844,23.01,No
36 months,RENT,C,other,16.91%,OK,Current,Individual,2500,3 years,24000.0,24.8,0,65.50%,44,0,"",36,3,65.0,43.76206961077844,24.8,No
36 months,RENT,A,debt_consolidation,7.84%,NY,Current,Individual,10000,10+ years,45000.0,11.49,0,15.90%,21,0,"",36,10,15.0,43.76206961077844,11.49,No
36 months,MORTGAGE,A,credit_card,6.11%,LA,Current,Individual,20000,6 years,120000.0,7.47,0,46.60%,36,0,"",36,6,46.0,43.76206961077844,7.47,No
36 months,MORTGAGE,C,home_improvement,14.47%,IL,Current,Joint App,16000,< 1 year,35000.0,29.05,0,71.60%,33,0,23.69,36,1,71.0,43.76206961077844,29.05,No
60 months,RENT,C,debt_consolidation,15.02%,WA,Fully Paid,Individual,25000,10+ years,75000.0,22.03,0,12.90%,69,0,"",60,10,12.0,43.76206961077844,22.03,No
60 months,OWN,C,debt_consolidation,14.47%,MD,Current,Individual,12000,10+ years,66000.0,38.11,0,23.50%,42,0,"",60,10,23.0,43.76206961077844,38.11,No
60 months,MORTGAGE,B,debt_consolidation,12.73%,TN,Current,Joint App,14000,7 years,40000.0,37.44,1,35.10%,18,0,21.73,60,7,35.0,43.76206961077844,37.44,No
36 months,OWN,D,small_business,17.97%,NE,Current,Individual,10000,6 years,35000.0,32.78,0,61.20%,15,0,"",36,6,61.0,43.76206961077844,32.78,No
36 months,MORTGAGE,A,credit_card,7.21%,CA,Current,Individual,24000,5 years,111000.0,20.35,0,17.70%,40,0,"",36,5,17.0,43.76206961077844,20.35,No
36 months,RENT,A,credit_card,7.21%,MD,Current,Individual,11750,2 years,70000.0,24.36,0,34.60%,42,0,"",36,2,34.0,43.76206961077844,24.36,No
36 months,OWN,D,debt_consolidation,17.97%,OK,Current,Individual,24100,7 years,137000.0,30.65,0,60%,20,0,"",36,7,60.0,43.76206961077844,30.65,No
36 months,MORTGAGE,B,home_improvement,11.06%,GA,Current,Individual,4800,10+ years,80000.0,21.87,0,91.50%,34,0,"",36,10,91.0,43.76206961077844,21.87,No
36 months,OWN,B,debt_consolidation,11.55%,IL,Current,Individual,10000,n/a,75000.0,26.62,0,34.30%,33,0,"",36,"",34.0,43.76206961077844,26.62,No
36 months,RENT,A,debt_consolidation,6.11%,TX,Current,Individual,33000,2 years,75000.0,29.15,0,47.20%,33,0,"",36,2,47.0,43.76206961077844,29.15,No
36 months,OWN,B,debt_consolidation,10.08%,PA,Current,Individual,6000,7 years,48000.0,29.98,1,20.60%,28,0,"",36,7,20.0,43.76206961077844,29.98,No
36 months,MORTGAGE,A,debt_consolidation,7.84%,AZ,Current,Joint App,10000,n/a,55000.0,26.05,1,13.80%,24,0,13.03,36,"",13.0,43.76206961077844,26.05,No
36 months,MORTGAGE,A,credit_card,7.84%,OH,Current,Individual,20000,10+ years,120000.0,34.21,0,45.20%,37,0,"",36,10,45.0,43.76206961077844,34.21,No
36 months,MORTGAGE,B,debt_consolidation,11.55%,CO,Current,Joint App,25000,1 year,45000.0,19.89,0,45%,16,0,21.62,36,1,45.0,43.76206961077844,19.89,No
36 months,MORTGAGE,C,debt_consolidation,16.91%,NY,Current,Individual,20150,10+ years,70500.0,20.64,2,38.30%,29,0,"",36,10,38.0,43.76206961077844,20.64,No
60 months,MORTGAGE,C,debt_consolidation,13.56%,MO,Current,Individual,35000,< 1 year,83000.0,18.26,0,71.10%,14,0,"",60,1,71.0,43.76206961077844,18.26,No
60 months,MORTGAGE,A,debt_consolidation,6.11%,KY,Current,Individual,10000,2 years,40000.0,10.44,0,13.10%,15,0,"",60,2,13.0,43.76206961077844,10.44,No
60 months,OWN,B,debt_consolidation,10.47%,FL,Current,Individual,12000,10+ years,150000.0,5.56,0,21.60%,36,0,"",60,10,21.0,43.76206961077844,5.56,No
36 months,RENT,D,debt_consolidation,18.94%,CA,Fully Paid,Individual,2000,< 1 year,49000.0,13.25,0,55.20%,10,0,"",36,1,55.0,43.76206961077844,13.25,No
60 months,MORTGAGE,D,home_improvement,18.94%,TX,Fully Paid,Individual,12000,< 1 year,95000.0,18.18,1,22%,52,0,"",60,1,22.0,43.76206961077844,18.18,No
36 months,OWN,A,credit_card,6.11%,TX,Current,Individual,10000,10+ years,79000.0,16.69,0,24.50%,23,0,"",36,10,24.0,43.76206961077844,16.69,No
60 months,MORTGAGE,B,debt_consolidation,12.73%,NJ,Current,Individual,26000,1 year,110000.0,15.56,0,84.90%,12,0,"",60,1,84.0,43.76206961077844,15.56,No
36 months,RENT,A,credit_card,7.21%,AZ,Current,Individual,5600,2 years,60000.0,4.44,0,16.90%,8,0,"",36,2,16.0,43.76206961077844,4.44,No
36 months,MORTGAGE,D,debt_consolidation,19.92%,AR,Current,Individual,15000,1 year,32000.0,36.5,0,12.50%,16,0,"",36,1,12.0,43.76206961077844,36.5,No
60 months,MORTGAGE,D,credit_card,22.35%,MN,Current,Joint App,40000,10+ years,76000.0,47.56,0,92.90%,30,0,29.63,60,10,92.0,43.76206961077844,47.56,No
60 months,MORTGAGE,C,other,14.47%,CA,Current,Joint App,13200,1 year,50000.0,19.49,0,25.10%,22,0,14.29,60,1,25.0,43.76206961077844,19.49,No
36 months,MORTGAGE,D,debt_consolidation,19.92%,RI,Current,Joint App,3000,n/a,22000.0,27.01,2,71.70%,16,0,16.48,36,"",71.0,43.76206961077844,27.01,No
36 months,MORTGAGE,A,debt_consolidation,6.11%,IL,Current,Joint App,40000,n/a,24000.0,167.25,0,49.80%,24,0,39.94,36,"",49.0,43.76206961077844,167.25,No
36 months,MORTGAGE,A,credit_card,6.11%,TX,Current,Individual,14000,10+ years,122000.0,10.06,0,62.20%,16,0,"",36,10,62.0,43.76206961077844,10.06,No
60 months,MORTGAGE,B,credit_card,11.55%,IL,Current,Individual,18000,10+ years,90000.0,23.32,0,88.60%,25,0,"",60,10,88.0,43.76206961077844,23.32,No
36 months,MORTGAGE,A,debt_consolidation,7.84%,VA,Current,Individual,26000,10+ years,95000.0,17.6,1,10.30%,20,0,"",36,10,10.0,43.76206961077844,17.6,No
60 months,RENT,B,debt_consolidation,12.73%,NJ,Current,Joint App,20000,n/a,38000.0,13.36,0,19.40%,13,0,33.32,60,"",19.0,43.76206961077844,13.36,No
60 months,RENT,B,credit_card,10.08%,OH,Current,Joint App,40000,1 year,198000.0,11.79,1,78.30%,25,0,14.09,60,1,78.0,43.76206961077844,11.79,No
60 months,MORTGAGE,A,credit_card,7.84%,CA,Current,Individual,32000,10+ years,115000.0,20.77,0,66.40%,27,0,"",60,10,66.0,43.76206961077844,20.77,No
60 months,MORTGAGE,A,debt_consolidation,7.21%,AL,Current,Individual,25000,10+ years,118000.0,10.91,0,98%,15,0,"",60,10,98.0,43.76206961077844,10.91,No
36 months,OWN,D,home_improvement,20.89%,IN,Current,Individual,5000,n/a,36000.0,34.07,0,50.50%,21,0,"",36,"",50.0,43.76206961077844,34.07,No
36 months,MORTGAGE,E,debt_consolidation,23.40%,CA,Current,Individual,6600,6 years,47000.0,34.91,0,71.70%,11,0,"",36,6,71.0,43.76206961077844,34.91,No
60 months,RENT,B,debt_consolidation,10.08%,OH,Current,Individual,13000,6 years,83250.0,10.64,0,44.40%,10,0,"",60,6,44.0,43.76206961077844,10.64,No
60 months,RENT,C,credit_card,16.91%,CA,Current,Individual,20000,7 years,120000.0,37.34,0,40.90%,27,0,"",60,7,40.0,43.76206961077844,37.34,No
60 months,MORTGAGE,B,debt_consolidation,12.73%,CO,Fully Paid,Individual,36700,10+ years,85000.0,15.33,1,8.20%,42,0,"",60,10,8.0,43.76206961077844,15.33,No
36 months,MORTGAGE,C,debt_consolidation,15.02%,VA,Current,Individual,15000,6 years,68500.0,22.41,0,44%,44,0,"",36,6,44.0,43.76206961077844,22.41,No
36 months,MORTGAGE,A,debt_consolidation,6.67%,NC,Current,Individual,33000,10+ years,65000.0,20.4,0,48.60%,37,0,"",36,10,48.0,43.76206961077844,20.4,No
36 months,RENT,A,credit_card,8.46%,NY,Current,Individual,10000,10+ years,45800.0,4.25,0,53.70%,8,0,"",36,10,53.0,43.76206961077844,4.25,No
36 months,RENT,D,debt_consolidation,19.92%,OR,Current,Individual,3500,9 years,72000.0,26.68,0,46.20%,42,0,"",36,9,46.0,43.76206961077844,26.68,No
36 months,RENT,B,moving,12.73%,CA,Current,Individual,10000,9 years,100000.0,15.1,0,21.20%,20,0,"",36,9,21.0,43.76206961077844,15.1,No
36 months,RENT,A,debt_consolidation,6.67%,UT,Current,Individual,10000,10+ years,80000.0,17.45,0,75.30%,11,0,"",36,10,75.0,43.76206961077844,17.45,No
36 months,RENT,A,debt_consolidation,7.84%,FL,Current,Individual,3200,n/a,29000.0,22.31,0,10.40%,21,0,"",36,"",10.0,43.76206961077844,22.31,No
36 months,RENT,A,credit_card,6.11%,TX,Current,Individual,5000,5 years,41000.0,17.56,0,52.60%,4,0,"",36,5,52.0,43.76206961077844,17.56,No
36 months,RENT,D,credit_card,18.94%,CO,Current,Individual,8000,9 years,41000.0,16.51,0,75.90%,11,0,"",36,9,75.0,43.76206961077844,16.51,No
60 months,RENT,C,debt_consolidation,15.02%,MA,Current,Individual,16800,5 years,60000.0,14.68,0,27.30%,16,0,"",60,5,27.0,43.76206961077844,14.68,No
60 months,RENT,E,debt_consolidation,24.37%,TX,Current,Joint App,20000,< 1 year,60000.0,52.3,0,59.20%,45,0,34.73,60,1,59.0,43.76206961077844,52.3,No
36 months,MORTGAGE,A,credit_card,6.67%,TN,Current,Individual,6400,2 years,45000.0,15.17,0,34.80%,22,0,"",36,2,34.0,43.76206961077844,15.17,No
60 months,RENT,B,credit_card,12.73%,PA,Current,Individual,25000,7 years,135000.0,15.68,0,42.20%,23,0,"",60,7,42.0,43.76206961077844,15.68,No
36 months,MORTGAGE,B,credit_card,10.08%,MI,Current,Individual,9600,7 years,85000.0,33.15,1,22.80%,38,0,"",36,7,22.0,43.76206961077844,33.15,No
60 months,MORTGAGE,C,other,16.14%,AR,Current,Individual,40000,n/a,100000.0,31.5,0,36.80%,34,0,"",60,"",36.0,43.76206961077844,31.5,No
36 months,OWN,D,other,20.89%,GA,Current,Individual,5000,< 1 year,86000.0,26.21,0,44.40%,29,0,"",36,1,44.0,43.76206961077844,26.21,No
60 months,RENT,E,credit_card,24.37%,GA,Current,Joint App,12000,5 years,48000.0,42.1,0,23%,22,0,23.6,60,5,23.0,43.76206961077844,42.1,No
36 months,RENT,A,credit_card,8.46%,CA,Current,Individual,10000,1 year,50000.0,10.85,0,25.50%,6,0,"",36,1,25.0,43.76206961077844,10.85,No
36 months,RENT,D,credit_card,18.94%,NY,Current,Individual,3200,2 years,50000.0,20.19,1,25.10%,35,0,"",36,2,25.0,43.76206961077844,20.19,No
60 months,OWN,C,home_improvement,14.47%,PA,Current,Individual,24000,4 years,99850.0,6.02,0,21.80%,21,0,"",60,4,21.0,43.76206961077844,6.02,No
60 months,OWN,B,debt_consolidation,10.47%,HI,Current,Individual,32000,2 years,84000.0,18.59,0,32.80%,27,0,"",60,2,32.0,43.76206961077844,18.59,No
60 months,MORTGAGE,A,credit_card,6.11%,CA,Current,Individual,30000,10+ years,70000.0,19.94,0,52.30%,22,0,"",60,10,52.0,43.76206961077844,19.94,No
36 months,RENT,A,debt_consolidation,8.46%,CA,Current,Individual,8000,8 years,32000.0,6.98,0,88.60%,8,0,"",36,8,88.0,43.76206961077844,6.98,No
36 months,MORTGAGE,D,debt_consolidation,18.94%,FL,Current,Individual,16800,4 years,57000.0,28.04,1,48.90%,21,0,"",36,4,48.0,43.76206961077844,28.04,No
60 months,MORTGAGE,B,credit_card,12.73%,VA,Current,Individual,10000,n/a,65000.0,20.13,1,38%,27,0,"",60,"",38.0,43.76206961077844,20.13,No
36 months,OWN,B,debt_consolidation,10.08%,TN,Current,Individual,35000,10+ years,179000.0,16.14,0,2.70%,10,0,"",36,10,2.0,43.76206961077844,16.14,No
36 months,RENT,C,debt_consolidation,13.56%,FL,Current,Individual,11000,3 years,39000.0,8.31,0,39.40%,8,0,"",36,3,39.0,43.76206961077844,8.31,No
36 months,MORTGAGE,C,home_improvement,15.02%,CA,Current,Individual,10000,< 1 year,60000.0,30.3,0,41.70%,18,0,"",36,1,41.0,43.76206961077844,30.3,No
36 months,OWN,A,credit_card,7.21%,NE,Current,Joint App,16000,1 year,30000.0,27.88,0,67.50%,10,0,19.8,36,1,67.0,43.76206961077844,27.88,No
36 months,RENT,C,debt_consolidation,16.14%,TX,Current,Individual,16000,10+ years,100000.0,5.95,0,63%,19,0,"",36,10,63.0,43.76206961077844,5.95,No
36 months,MORTGAGE,A,credit_card,7.84%,KS,Current,Individual,9500,10+ years,75355.56,15.77,0,28.30%,37,0,"",36,10,28.0,43.76206961077844,15.77,No
36 months,RENT,D,debt_consolidation,19.92%,AZ,Fully Paid,Individual,6600,< 1 year,56000.0,20.85,0,31.80%,32,0,"",36,1,31.0,43.76206961077844,20.85,No
60 months,MORTGAGE,A,credit_card,6.11%,TX,Current,Individual,12000,3 years,95000.0,9.95,0,27.10%,17,0,"",60,3,27.0,43.76206961077844,9.95,No
60 months,MORTGAGE,B,debt_consolidation,10.08%,GA,Current,Individual,10000,2 years,136000.0,4.18,0,13.90%,32,0,"",60,2,13.0,43.76206961077844,4.18,No
36 months,RENT,A,debt_consolidation,7.84%,FL,Current,Individual,5000,9 years,37000.0,14.95,0,19.50%,22,0,"",36,9,19.0,43.76206961077844,14.95,No
36 months,RENT,B,debt_consolidation,10.47%,AZ,Fully Paid,Individual,5000,n/a,21000.0,4.97,0,12.70%,11,0,"",36,"",12.0,43.76206961077844,4.97,No
36 months,RENT,A,debt_consolidation,6.11%,CA,Current,Individual,14000,10+ years,93000.0,11.73,0,11%,16,0,"",36,10,11.0,43.76206961077844,11.73,No
36 months,MORTGAGE,D,major_purchase,18.94%,PA,Fully Paid,Individual,1400,4 years,61000.0,31.87,0,43.50%,37,0,"",36,4,43.0,43.76206961077844,31.87,No
36 months,MORTGAGE,C,debt_consolidation,13.56%,TX,Current,Individual,10000,1 year,30000.0,15.76,0,44.20%,11,0,"",36,1,44.0,43.76206961077844,15.76,No
60 months,OWN,A,medical,7.84%,TX,Current,Joint App,10500,2 years,46000.0,23.56,0,36%,18,0,18.55,60,2,36.0,43.76206961077844,23.56,No
36 months,MORTGAGE,A,credit_card,7.21%,MD,Current,Individual,10000,2 years,103000.0,19.96,0,53.60%,32,0,"",36,2,53.0,43.76206961077844,19.96,No
36 months,MORTGAGE,A,debt_consolidation,8.46%,MA,Current,Individual,21000,4 years,110000.0,16.46,0,40%,20,0,"",36,4,40.0,43.76206961077844,16.46,No
36 months,MORTGAGE,C,debt_consolidation,14.47%,TX,Current,Individual,7800,2 years,65000.0,12.43,0,68.90%,10,0,"",36,2,68.0,43.76206961077844,12.43,No
36 months,OWN,D,debt_consolidation,19.92%,GA,Current,Joint App,3100,10+ years,68000.0,46.28,0,87.10%,36,0,36.63,36,10,87.0,43.76206961077844,46.28,No
36 months,RENT,B,debt_consolidation,10.08%,NJ,Current,Individual,10000,< 1 year,75000.0,14.34,0,39.50%,12,0,"",36,1,39.0,43.76206961077844,14.34,No
36 months,MORTGAGE,B,debt_consolidation,11.06%,CT,Current,Individual,25000,< 1 year,129000.0,11.64,0,70.90%,14,0,"",36,1,70.0,43.76206961077844,11.64,No
60 months,MORTGAGE,C,home_improvement,16.14%,CO,Current,Individual,21600,10+ years,90000.0,21.84,1,20.70%,35,0,"",60,10,20.0,43.76206961077844,21.84,No
60 months,RENT,D,debt_consolidation,18.94%,FL,Current,Individual,14000,2 years,35000.0,33.95,0,29.50%,28,0,"",60,2,29.0,43.76206961077844,33.95,No
36 months,MORTGAGE,B,small_business,10.47%,CA,Current,Individual,26550,3 years,205000.0,12.84,0,54.10%,21,0,"",36,3,54.0,43.76206961077844,12.84,No
36 months,MORTGAGE,A,debt_consolidation,7.84%,NC,Current,Joint App,22025,3 years,145000.0,15.63,0,31.50%,19,0,15.78,36,3,31.0,43.76206961077844,15.63,No
36 months,MORTGAGE,E,debt_consolidation,24.37%,VA,Current,Individual,10000,7 years,127500.0,30.51,0,80.10%,18,0,"",36,7,80.0,43.76206961077844,30.51,No
36 months,MORTGAGE,A,credit_card,8.46%,SC,Current,Individual,10000,10+ years,60000.0,36.36,0,66.60%,26,0,"",36,10,66.0,43.76206961077844,36.36,No
60 months,RENT,D,debt_consolidation,17.97%,FL,Current,Individual,15000,8 years,67600.0,18.5,0,56.40%,18,0,"",60,8,56.0,43.76206961077844,18.5,No
60 months,OWN,A,credit_card,7.21%,TX,Current,Individual,22500,5 years,35000.0,15.57,0,36.40%,16,0,"",60,5,36.0,43.76206961077844,15.57,No
36 months,MORTGAGE,C,debt_consolidation,14.47%,FL,Current,Individual,15000,< 1 year,125000.0,38.84,2,58.90%,39,0,"",36,1,58.0,43.76206961077844,38.84,No
60 months,OWN,D,debt_consolidation,18.94%,LA,Current,Individual,25000,n/a,49404.0,19.6,0,31.20%,39,0,"",60,"",31.0,43.76206961077844,19.6,No
36 months,MORTGAGE,D,debt_consolidation,18.94%,MD,Current,Individual,6850,3 years,206000.0,30.22,0,66%,31,0,"",36,3,66.0,43.76206961077844,30.22,No
60 months,MORTGAGE,B,debt_consolidation,10.08%,NC,Current,Joint App,38000,10+ years,40000.0,28.53,0,24.70%,26,0,20.08,60,10,24.0,43.76206961077844,28.53,No
36 months,MORTGAGE,D,home_improvement,22.35%,FL,Current,Individual,8000,< 1 year,84000.0,24.49,1,46.20%,23,0,"",36,1,46.0,43.76206961077844,24.49,No
36 months,RENT,A,debt_consolidation,7.84%,WA,Current,Individual,20000,2 years,60000.0,10.84,0,31.90%,15,0,"",36,2,31.0,43.76206961077844,10.84,No
36 months,RENT,C,credit_card,14.47%,CT,Current,Individual,14000,3 years,47500.0,6.32,0,63.20%,9,0,"",36,3,63.0,43.76206961077844,6.32,No
36 months,RENT,B,debt_consolidation,10.08%,CA,Current,Individual,7500,< 1 year,55000.0,24.59,0,35.70%,15,0,"",36,1,35.0,43.76206961077844,24.59,No
36 months,RENT,B,credit_card,10.47%,NV,Current,Individual,8000,8 years,47450.0,20.01,0,45.80%,22,0,"",36,8,45.0,43.76206961077844,20.01,No
36 months,MORTGAGE,A,debt_consolidation,6.11%,VA,Current,Individual,10000,10+ years,67000.0,37.29,2,24%,40,2,"",36,10,24.0,43.76206961077844,37.29,No
36 months,MORTGAGE,D,other,19.92%,FL,Current,Individual,4000,< 1 year,130000.0,16.32,1,26.70%,11,0,"",36,1,26.0,43.76206961077844,16.32,No
36 months,RENT,D,debt_consolidation,20.89%,TX,Current,Individual,18500,10+ years,90000.0,33.74,0,77.70%,29,0,"",36,10,77.0,43.76206961077844,33.74,No
60 months,MORTGAGE,D,credit_card,18.94%,NV,Fully Paid,Individual,27000,10+ years,51688.0,22.36,0,91.10%,14,0,"",60,10,91.0,43.76206961077844,22.36,No
60 months,RENT,E,debt_consolidation,25.34%,FL,Current,Individual,10000,4 years,37000.0,26.11,4,67.50%,18,1,"",60,4,67.0,43.76206961077844,26.11,No
36 months,OWN,A,credit_card,8.46%,TX,Current,Individual,6000,< 1 year,32000.0,2.25,0,14.90%,8,0,"",36,1,14.0,43.76206961077844,2.25,No
36 months,RENT,D,credit_card,17.97%,NY,Current,Individual,10000,n/a,30000.0,17.72,0,41.30%,16,0,"",36,"",41.0,43.76206961077844,17.72,No
60 months,MORTGAGE,A,debt_consolidation,7.84%,AZ,Current,Individual,13000,3 years,46000.0,22.91,0,24.30%,42,0,"",60,3,24.0,43.76206961077844,22.91,No
