term,home_ownership,grade,purpose,int_rate,addr_state,loan_status,application_type,loan_amnt,emp_length,annual_inc,delinq_2yrs,total_acc,num_tl_90g_dpd_24m,term_cleaned,emplen_cleaned,revolutil_cleaned,rev_avg,dti_cleaned,bad_loan
36 months,MORTGAGE,A,debt_consolidation,8.46%,TN,Fully Paid,Individual,5000,n/a,36000.0,0,24,0,36,"",10.0,43.76206961077844,25.93,No
36 months,OWN,C,other,15.02%,NY,Current,Individual,7000,8 years,45000.0,0,6,0,36,8,62.0,43.76206961077844,8.24,No
36 months,MORTGAGE,C,debt_consolidation,16.14%,CO,Current,Joint App,16000,2 years,39000.0,1,12,0,36,2,38.0,43.76206961077844,27.2,No
60 months,MORTGAGE,B,debt_consolidation,10.47%,CA,Current,Individual,35000,2 years,275000.0,0,31,0,60,2,70.0,43.76206961077844,20.54,No
60 months,MORTGAGE,B,small_business,10.08%,AR,Current,Joint App,40000,n/a,47000.0,0,45,0,60,"",22.0,43.76206961077844,43.51,No
36 months,OWN,B,debt_consolidation,12.73%,MN,Current,Joint App,12000,1 year,30000.0,0,19,0,36,1,20.0,43.76206961077844,13.48,No
36 months,RENT,C,debt_consolidation,16.14%,NJ,Fully Paid,Individual,6000,5 years,41600.0,1,13,0,36,5,13.0,43.76206961077844,28.62,No
36 months,RENT,A,debt_consolidation,6.11%,SC,Current,Individual,10000,1 year,90000.0,0,12,0,36,1,57.0,43.76206961077844,7.16,No
60 months,MORTGAGE,C,debt_consolidation,14.47%,OR,Current,Joint App,19200,10+ years,112000.0,0,24,0,60,10,74.0,43.76206961077844,41.88,No
36 months,MORTGAGE,B,debt_consolidation,10.08%,OR,Current,Joint App,19000,10+ years,34000.0,1,22,0,36,10,36.0,43.76206961077844,8.68,No
36 months,RENT,B,credit_card,11.55%,PA,Current,Individual,14000,10+ years,90000.0,0,37,0,36,10,65.0,43.76206961077844,23.4,No
36 months,MORTGAGE,C,home_improvement,16.91%,FL,Current,Individual,10000,10+ years,52000.0,1,24,1,36,10,19.0,43.76206961077844,17.66,No
60 months,OWN,C,debt_consolidation,15.02%,CA,Current,Individual,27850,3 years,69000.0,0,21,0,60,3,50.0,43.76206961077844,23.01,No
36 months,RENT,C,other,16.91%,OK,Current,Individual,2500,3 years,24000.0,0,44,0,36,3,65.0,43.76206961077844,24.8,No
36 months,RENT,A,debt_consolidation,7.84%,NY,Current,Individual,10000,10+ years,45000.0,0,21,0,36,10,15.0,43.76206961077844,11.49,No
36 months,MORTGAGE,A,credit_card,6.11%,LA,Current,Individual,20000,6 years,120000.0,0,36,0,36,6,46.0,43.76206961077844,7.47,No
36 months,MORTGAGE,C,home_improvement,14.47%,IL,Current,Joint App,16000,< 1 year,35000.0,0,33,0,36,1,71.0,43.76206961077844,29.05,No
60 months,RENT,C,debt_consolidation,15.02%,WA,Fully Paid,Individual,25000,10+ years,75000.0,0,69,0,60,10,12.0,43.76206961077844,22.03,No
60 months,OWN,C,debt_consolidation,14.47%,MD,Current,Individual,12000,10+ years,66000.0,0,42,0,60,10,23.0,43.76206961077844,38.11,No
60 months,MORTGAGE,B,debt_consolidation,12.73%,TN,Current,Joint App,14000,7 years,40000.0,1,18,0,60,7,35.0,43.76206961077844,37.44,No
36 months,OWN,D,small_business,17.97%,NE,Current,Individual,10000,6 years,35000.0,0,15,0,36,6,61.0,43.76206961077844,32.78,No
36 months,MORTGAGE,A,credit_card,7.21%,CA,Current,Individual,24000,5 years,111000.0,0,40,0,36,5,17.0,43.76206961077844,20.35,No
36 months,RENT,A,credit_card,7.21%,MD,Current,Individual,11750,2 years,70000.0,0,42,0,36,2,34.0,43.76206961077844,24.36,No
36 months,OWN,D,debt_consolidation,17.97%,OK,Current,Individual,24100,7 years,137000.0,0,20,0,36,7,60.0,43.76206961077844,30.65,No
36 months,MORTGAGE,B,home_improvement,11.06%,GA,Current,Individual,4800,10+ years,80000.0,0,34,0,36,10,91.0,43.76206961077844,21.87,No
36 months,OWN,B,debt_consolidation,11.55%,IL,Current,Individual,10000,n/a,75000.0,0,33,0,36,"",34.0,43.76206961077844,26.62,No
36 months,RENT,A,debt_consolidation,6.11%,TX,Current,Individual,33000,2 years,75000.0,0,33,0,36,2,47.0,43.76206961077844,29.15,No
36 months,OWN,B,debt_consolidation,10.08%,PA,Current,Individual,6000,7 years,48000.0,1,28,0,36,7,20.0,43.76206961077844,29.98,No
36 months,MORTGAGE,A,debt_consolidation,7.84%,AZ,Current,Joint App,10000,n/a,55000.0,1,24,0,36,"",13.0,43.76206961077844,26.05,No
36 months,MORTGAGE,A,credit_card,7.84%,OH,Current,Individual,20000,10+ years,120000.0,0,37,0,36,10,45.0,43.76206961077844,34.21,No
36 months,MORTGAGE,B,debt_consolidation,11.55%,CO,Current,Joint App,25000,1 year,45000.0,0,16,0,36,1,45.0,43.76206961077844,19.89,No
36 months,MORTGAGE,C,debt_consolidation,16.91%,NY,Current,Individual,20150,10+ years,70500.0,2,29,0,36,10,38.0,43.76206961077844,20.64,No
60 months,MORTGAGE,C,debt_consolidation,13.56%,MO,Current,Individual,35000,< 1 year,83000.0,0,14,0,60,1,71.0,43.76206961077844,18.26,No
60 months,MORTGAGE,A,debt_consolidation,6.11%,KY,Current,Individual,10000,2 years,40000.0,0,15,0,60,2,13.0,43.76206961077844,10.44,No
60 months,OWN,B,debt_consolidation,10.47%,FL,Current,Individual,12000,10+ years,150000.0,0,36,0,60,10,21.0,43.76206961077844,5.56,No
36 months,RENT,D,debt_consolidation,18.94%,CA,Fully Paid,Individual,2000,< 1 year,49000.0,0,10,0,36,1,55.0,43.76206961077844,13.25,No
60 months,MORTGAGE,D,home_improvement,18.94%,TX,Fully Paid,Individual,12000,< 1 year,95000.0,1,52,0,60,1,22.0,43.76206961077844,18.18,No
36 months,OWN,A,credit_card,6.11%,TX,Current,Individual,10000,10+ years,79000.0,0,23,0,36,10,24.0,43.76206961077844,16.69,No
60 months,MORTGAGE,B,debt_consolidation,12.73%,NJ,Current,Individual,26000,1 year,110000.0,0,12,0,60,1,84.0,43.76206961077844,15.56,No
36 months,RENT,A,credit_card,7.21%,AZ,Current,Individual,5600,2 years,60000.0,0,8,0,36,2,16.0,43.76206961077844,4.44,No
36 months,MORTGAGE,D,debt_consolidation,19.92%,AR,Current,Individual,15000,1 year,32000.0,0,16,0,36,1,12.0,43.76206961077844,36.5,No
60 months,MORTGAGE,D,credit_card,22.35%,MN,Current,Joint App,40000,10+ years,76000.0,0,30,0,60,10,92.0,43.76206961077844,47.56,No
60 months,MORTGAGE,C,other,14.47%,CA,Current,Joint App,13200,1 year,50000.0,0,22,0,60,1,25.0,43.76206961077844,19.49,No
36 months,MORTGAGE,D,debt_consolidation,19.92%,RI,Current,Joint App,3000,n/a,22000.0,2,16,0,36,"",71.0,43.76206961077844,27.01,No
36 months,MORTGAGE,A,debt_consolidation,6.11%,IL,Current,Joint App,40000,n/a,24000.0,0,24,0,36,"",49.0,43.76206961077844,167.25,No
36 months,MORTGAGE,A,credit_card,6.11%,TX,Current,Individual,14000,10+ years,122000.0,0,16,0,36,10,62.0,43.76206961077844,10.06,No
60 months,MORTGAGE,B,credit_card,11.55%,IL,Current,Individual,18000,10+ years,90000.0,0,25,0,60,10,88.0,43.76206961077844,23.32,No
36 months,MORTGAGE,A,debt_consolidation,7.84%,VA,Current,Individual,26000,10+ years,95000.0,1,20,0,36,10,10.0,43.76206961077844,17.6,No
60 months,RENT,B,debt_consolidation,12.73%,NJ,Current,Joint App,20000,n/a,38000.0,0,13,0,60,"",19.0,43.76206961077844,13.36,No
60 months,RENT,B,credit_card,10.08%,OH,Current,Joint App,40000,1 year,198000.0,1,25,0,60,1,78.0,43.76206961077844,11.79,No
60 months,MORTGAGE,A,credit_card,7.84%,CA,Current,Individual,32000,10+ years,115000.0,0,27,0,60,10,66.0,43.76206961077844,20.77,No
60 months,MORTGAGE,A,debt_consolidation,7.21%,AL,Current,Individual,25000,10+ years,118000.0,0,15,0,60,10,98.0,43.76206961077844,10.91,No
36 months,OWN,D,home_improvement,20.89%,IN,Current,Individual,5000,n/a,36000.0,0,21,0,36,"",50.0,43.76206961077844,34.07,No
36 months,MORTGAGE,E,debt_consolidation,23.40%,CA,Current,Individual,6600,6 years,47000.0,0,11,0,36,6,71.0,43.76206961077844,34.91,No
60 months,RENT,B,debt_consolidation,10.08%,OH,Current,Individual,13000,6 years,83250.0,0,10,0,60,6,44.0,43.76206961077844,10.64,No
60 months,RENT,C,credit_card,16.91%,CA,Current,Individual,20000,7 years,120000.0,0,27,0,60,7,40.0,43.76206961077844,37.34,No
60 months,MORTGAGE,B,debt_consolidation,12.73%,CO,Fully Paid,Individual,36700,10+ years,85000.0,1,42,0,60,10,8.0,43.76206961077844,15.33,No
36 months,MORTGAGE,C,debt_consolidation,15.02%,VA,Current,Individual,15000,6 years,68500.0,0,44,0,36,6,44.0,43.76206961077844,22.41,No
36 months,MORTGAGE,A,debt_consolidation,6.67%,NC,Current,Individual,33000,10+ years,65000.0,0,37,0,36,10,48.0,43.76206961077844,20.4,No
36 months,RENT,A,credit_card,8.46%,NY,Current,Individual,10000,10+ years,45800.0,0,8,0,36,10,53.0,43.76206961077844,4.25,No
36 months,RENT,D,debt_consolidation,19.92%,OR,Current,Individual,3500,9 years,72000.0,0,42,0,36,9,46.0,43.76206961077844,26.68,No
36 months,RENT,B,moving,12.73%,CA,Current,Individual,10000,9 years,100000.0,0,20,0,36,9,21.0,43.76206961077844,15.1,No
36 months,RENT,A,debt_consolidation,6.67%,UT,Current,Individual,10000,10+ years,80000.0,0,11,0,36,10,75.0,43.76206961077844,17.45,No
36 months,RENT,A,debt_consolidation,7.84%,FL,Current,Individual,3200,n/a,29000.0,0,21,0,36,"",10.0,43.76206961077844,22.31,No
36 months,RENT,A,credit_card,6.11%,TX,Current,Individual,5000,5 years,41000.0,0,4,0,36,5,52.0,43.76206961077844,17.56,No
36 months,RENT,D,credit_card,18.94%,CO,Current,Individual,8000,9 years,41000.0,0,11,0,36,9,75.0,43.76206961077844,16.51,No
60 months,RENT,C,debt_consolidation,15.02%,MA,Current,Individual,16800,5 years,60000.0,0,16,0,60,5,27.0,43.76206961077844,14.68,No
60 months,RENT,E,debt_consolidation,24.37%,TX,Current,Joint App,20000,< 1 year,60000.0,0,45,0,60,1,59.0,43.76206961077844,52.3,No
36 months,MORTGAGE,A,credit_card,6.67%,TN,Current,Individual,6400,2 years,45000.0,0,22,0,36,2,34.0,43.76206961077844,15.17,No
60 months,RENT,B,credit_card,12.73%,PA,Current,Individual,25000,7 years,135000.0,0,23,0,60,7,42.0,43.76206961077844,15.68,No
36 months,MORTGAGE,B,credit_card,10.08%,MI,Current,Individual,9600,7 years,85000.0,1,38,0,36,7,22.0,43.76206961077844,33.15,No
60 months,MORTGAGE,C,other,16.14%,AR,Current,Individual,40000,n/a,100000.0,0,34,0,60,"",36.0,43.76206961077844,31.5,No
36 months,OWN,D,other,20.89%,GA,Current,Individual,5000,< 1 year,86000.0,0,29,0,36,1,44.0,43.76206961077844,26.21,No
60 months,RENT,E,credit_card,24.37%,GA,Current,Joint App,12000,5 years,48000.0,0,22,0,60,5,23.0,43.76206961077844,42.1,No
36 months,RENT,A,credit_card,8.46%,CA,Current,Individual,10000,1 year,50000.0,0,6,0,36,1,25.0,43.76206961077844,10.85,No
36 months,RENT,D,credit_card,18.94%,NY,Current,Individual,3200,2 years,50000.0,1,35,0,36,2,25.0,43.76206961077844,20.19,No
60 months,OWN,C,home_improvement,14.47%,PA,Current,Individual,24000,4 years,99850.0,0,21,0,60,4,21.0,43.76206961077844,6.02,No
60 months,OWN,B,debt_consolidation,10.47%,HI,Current,Individual,32000,2 years,84000.0,0,27,0,60,2,32.0,43.76206961077844,18.59,No
60 months,MORTGAGE,A,credit_card,6.11%,CA,Current,Individual,30000,10+ years,70000.0,0,22,0,60,10,52.0,43.76206961077844,19.94,No
36 months,RENT,A,debt_consolidation,8.46%,CA,Current,Individual,8000,8 years,32000.0,0,8,0,36,8,88.0,43.76206961077844,6.98,No
36 months,MORTGAGE,D,debt_consolidation,18.94%,FL,Current,Individual,16800,4 years,57000.0,1,21,0,36,4,48.0,43.76206961077844,28.04,No
60 months,MORTGAGE,B,credit_card,12.73%,VA,Current,Individual,10000,n/a,65000.0,1,27,0,60,"",38.0,43.76206961077844,20.13,No
36 months,OWN,B,debt_consolidation,10.08%,TN,Current,Individual,35000,10+ years,179000.0,0,10,0,36,10,2.0,43.76206961077844,16.14,No
36 months,RENT,C,debt_consolidation,13.56%,FL,Current,Individual,11000,3 years,39000.0,0,8,0,36,3,39.0,43.76206961077844,8.31,No
36 months,MORTGAGE,C,home_improvement,15.02%,CA,Current,Individual,10000,< 1 year,60000.0,0,18,0,36,1,41.0,43.76206961077844,30.3,No
36 months,OWN,A,credit_card,7.21%,NE,Current,Joint App,16000,1 year,30000.0,0,10,0,36,1,67.0,43.76206961077844,27.88,No
36 months,RENT,C,debt_consolidation,16.14%,TX,Current,Individual,16000,10+ years,100000.0,0,19,0,36,10,63.0,43.76206961077844,5.95,No
36 months,MORTGAGE,A,credit_card,7.84%,KS,Current,Individual,9500,10+ years,75355.56,0,37,0,36,10,28.0,43.76206961077844,15.77,No
36 months,RENT,D,debt_consolidation,19.92%,AZ,Fully Paid,Individual,6600,< 1 year,56000.0,0,32,0,36,1,31.0,43.76206961077844,20.85,No
60 months,MORTGAGE,A,credit_card,6.11%,TX,Current,Individual,12000,3 years,95000.0,0,17,0,60,3,27.0,43.76206961077844,9.95,No
60 months,MORTGAGE,B,debt_consolidation,10.08%,GA,Current,Individual,10000,2 years,136000.0,0,32,0,60,2,13.0,43.76206961077844,4.18,No
36 months,RENT,A,debt_consolidation,7.84%,FL,Current,Individual,5000,9 years,37000.0,0,22,0,36,9,19.0,43.76206961077844,14.95,No
36 months,RENT,B,debt_consolidation,10.47%,AZ,Fully Paid,Individual,5000,n/a,21000.0,0,11,0,36,"",12.0,43.76206961077844,4.97,No
36 months,RENT,A,debt_consolidation,6.11%,CA,Current,Individual,14000,10+ years,93000.0,0,16,0,36,10,11.0,43.76206961077844,11.73,No
36 months,MORTGAGE,D,major_purchase,18.94%,PA,Fully Paid,Individual,1400,4 years,61000.0,0,37,0,36,4,43.0,43.76206961077844,31.87,No
36 months,MORTGAGE,C,debt_consolidation,13.56%,TX,Current,Individual,10000,1 year,30000.0,0,11,0,36,1,44.0,43.76206961077844,15.76,No
60 months,OWN,A,medical,7.84%,TX,Current,Joint App,10500,2 years,46000.0,0,18,0,60,2,36.0,43.76206961077844,23.56,No
36 months,MORTGAGE,A,credit_card,7.21%,MD,Current,Individual,10000,2 years,103000.0,0,32,0,36,2,53.0,43.76206961077844,19.96,No
36 months,MORTGAGE,A,debt_consolidation,8.46%,MA,Current,Individual,21000,4 years,110000.0,0,20,0,36,4,40.0,43.76206961077844,16.46,No
36 months,MORTGAGE,C,debt_consolidation,14.47%,TX,Current,Individual,7800,2 years,65000.0,0,10,0,36,2,68.0,43.76206961077844,12.43,No
36 months,OWN,D,debt_consolidation,19.92%,GA,Current,Joint App,3100,10+ years,68000.0,0,36,0,36,10,87.0,43.76206961077844,46.28,No
36 months,RENT,B,debt_consolidation,10.08%,NJ,Current,Individual,10000,< 1 year,75000.0,0,12,0,36,1,39.0,43.76206961077844,14.34,No
36 months,MORTGAGE,B,debt_consolidation,11.06%,CT,Current,Individual,25000,< 1 year,129000.0,0,14,0,36,1,70.0,43.76206961077844,11.64,No
60 months,MORTGAGE,C,home_improvement,16.14%,CO,Current,Individual,21600,10+ years,90000.0,1,35,0,60,10,20.0,43.76206961077844,21.84,No
60 months,RENT,D,debt_consolidation,18.94%,FL,Current,Individual,14000,2 years,35000.0,0,28,0,60,2,29.0,43.76206961077844,33.95,No
36 months,MORTGAGE,B,small_business,10.47%,CA,Current,Individual,26550,3 years,205000.0,0,21,0,36,3,54.0,43.76206961077844,12.84,No
36 months,MORTGAGE,A,debt_consolidation,7.84%,NC,Current,Joint App,22025,3 years,145000.0,0,19,0,36,3,31.0,43.76206961077844,15.63,No
36 months,MORTGAGE,E,debt_consolidation,24.37%,VA,Current,Individual,10000,7 years,127500.0,0,18,0,36,7,80.0,43.76206961077844,30.51,No
36 months,MORTGAGE,A,credit_card,8.46%,SC,Current,Individual,10000,10+ years,60000.0,0,26,0,36,10,66.0,43.76206961077844,36.36,No
60 months,RENT,D,debt_consolidation,17.97%,FL,Current,Individual,15000,8 years,67600.0,0,18,0,60,8,56.0,43.76206961077844,18.5,No
60 months,OWN,A,credit_card,7.21%,TX,Current,Individual,22500,5 years,35000.0,0,16,0,60,5,36.0,43.76206961077844,15.57,No
36 months,MORTGAGE,C,debt_consolidation,14.47%,FL,Current,Individual,15000,< 1 year,125000.0,2,39,0,36,1,58.0,43.76206961077844,38.84,No
60 months,OWN,D,debt_consolidation,18.94%,LA,Current,Individual,25000,n/a,49404.0,0,39,0,60,"",31.0,43.76206961077844,19.6,No
36 months,MORTGAGE,D,debt_consolidation,18.94%,MD,Current,Individual,6850,3 years,206000.0,0,31,0,36,3,66.0,43.76206961077844,30.22,No
60 months,MORTGAGE,B,debt_consolidation,10.08%,NC,Current,Joint App,38000,10+ years,40000.0,0,26,0,60,10,24.0,43.76206961077844,28.53,No
36 months,MORTGAGE,D,home_improvement,22.35%,FL,Current,Individual,8000,< 1 year,84000.0,1,23,0,36,1,46.0,43.76206961077844,24.49,No
36 months,RENT,A,debt_consolidation,7.84%,WA,Current,Individual,20000,2 years,60000.0,0,15,0,36,2,31.0,43.76206961077844,10.84,No
36 months,RENT,C,credit_card,14.47%,CT,Current,Individual,14000,3 years,47500.0,0,9,0,36,3,63.0,43.76206961077844,6.32,No
36 months,RENT,B,debt_consolidation,10.08%,CA,Current,Individual,7500,< 1 year,55000.0,0,15,0,36,1,35.0,43.76206961077844,24.59,No
36 months,RENT,B,credit_card,10.47%,NV,Current,Individual,8000,8 years,47450.0,0,22,0,36,8,45.0,43.76206961077844,20.01,No
36 months,MORTGAGE,A,debt_consolidation,6.11%,VA,Current,Individual,10000,10+ years,67000.0,2,40,2,36,10,24.0,43.76206961077844,37.29,No
36 months,MORTGAGE,D,other,19.92%,FL,Current,Individual,4000,< 1 year,130000.0,1,11,0,36,1,26.0,43.76206961077844,16.32,No
36 months,RENT,D,debt_consolidation,20.89%,TX,Current,Individual,18500,10+ years,90000.0,0,29,0,36,10,77.0,43.76206961077844,33.74,No
60 months,MORTGAGE,D,credit_card,18.94%,NV,Fully Paid,Individual,27000,10+ years,51688.0,0,14,0,60,10,91.0,43.76206961077844,22.36,No
60 months,RENT,E,debt_consolidation,25.34%,FL,Current,Individual,10000,4 years,37000.0,4,18,1,60,4,67.0,43.76206961077844,26.11,No
36 months,OWN,A,credit_card,8.46%,TX,Current,Individual,6000,< 1 year,32000.0,0,8,0,36,1,14.0,43.76206961077844,2.25,No
36 months,RENT,D,credit_card,17.97%,NY,Current,Individual,10000,n/a,30000.0,0,16,0,36,"",41.0,43.76206961077844,17.72,No
60 months,MORTGAGE,A,debt_consolidation,7.84%,AZ,Current,Individual,13000,3 years,46000.0,0,42,0,60,3,24.0,43.76206961077844,22.91,No
36 months,RENT,C,debt_consolidation,16.14%,FL,Current,Individual,4000,10+ years,37000.0,0,9,0,36,10,39.0,43.76206961077844,8.43,No
36 months,RENT,C,debt_consolidation,16.91%,CO,Current,Individual,22500,2 years,72000.0,0,26,0,36,2,51.0,43.76206961077844,35.07,No
36 months,RENT,A,debt_consolidation,6.11%,CO,Current,Individual,17000,2 years,84000.0,0,22,0,36,2,54.0,43.76206961077844,29.6,No
60 months,MORTGAGE,C,debt_consolidation,13.56%,TN,Current,Individual,10800,4 years,95000.0,1,19,0,60,4,35.0,43.76206961077844,12.63,No
36 months,MORTGAGE,D,home_improvement,19.92%,MA,Current,Individual,30000,< 1 year,200000.0,0,15,0,36,1,53.0,43.76206961077844,9.5,No
36 months,MORTGAGE,A,home_improvement,8.46%,PA,Current,Individual,40000,10+ years,145000.0,0,25,0,36,10,14.0,43.76206961077844,9.1,No
36 months,MORTGAGE,A,debt_consolidation,6.11%,TX,Current,Individual,40000,< 1 year,175000.0,0,31,0,36,1,45.0,43.76206961077844,13.49,No
36 months,MORTGAGE,A,debt_consolidation,8.46%,AR,Current,Individual,32000,< 1 year,67992.0,0,33,0,36,1,20.0,43.76206961077844,10.32,No
36 months,MORTGAGE,A,home_improvement,7.84%,AZ,Current,Individual,10000,3 years,75000.0,0,36,0,36,3,43.0,43.76206961077844,15.01,No
60 months,MORTGAGE,A,debt_consolidation,7.21%,FL,Current,Individual,10000,< 1 year,65000.0,0,18,0,60,1,24.0,43.76206961077844,6.4,No
60 months,RENT,B,credit_card,10.47%,CA,Current,Individual,20000,< 1 year,135000.0,0,26,0,60,1,33.0,43.76206961077844,22.63,No
60 months,RENT,C,credit_card,13.56%,NY,Current,Individual,12000,7 years,129996.0,0,17,0,60,7,39.0,43.76206961077844,7.42,No
36 months,MORTGAGE,B,other,10.08%,AZ,Current,Joint App,30000,10+ years,100000.0,0,31,0,36,10,19.0,43.76206961077844,38.79,No
60 months,MORTGAGE,E,credit_card,23.40%,FL,Fully Paid,Individual,30000,5 years,212000.0,0,18,0,60,5,89.0,43.76206961077844,10.6,No
36 months,MORTGAGE,A,debt_consolidation,7.21%,MO,Current,Individual,16500,10+ years,75000.0,0,14,0,36,10,21.0,43.76206961077844,11.06,No
36 months,RENT,A,debt_consolidation,6.67%,TX,Current,Individual,13000,3 years,19800.0,0,18,0,36,3,23.0,43.76206961077844,23.15,No
36 months,MORTGAGE,A,credit_card,7.84%,PA,Current,Individual,15900,< 1 year,78000.0,0,35,0,36,1,22.0,43.76206961077844,38.91,No
60 months,MORTGAGE,A,debt_consolidation,7.84%,GA,Current,Individual,40000,2 years,150000.0,2,33,0,60,2,32.0,43.76206961077844,8.21,No
36 months,MORTGAGE,B,other,12.73%,UT,Current,Individual,2500,7 years,47000.0,0,18,0,36,7,81.0,43.76206961077844,17.19,No
36 months,OWN,A,debt_consolidation,7.84%,VA,Current,Individual,40000,n/a,144000.0,0,30,0,36,"",37.0,43.76206961077844,7.01,No
36 months,MORTGAGE,A,debt_consolidation,7.84%,CT,Current,Individual,9000,10+ years,59300.0,1,21,0,36,10,11.0,43.76206961077844,18.15,No
36 months,RENT,A,debt_consolidation,8.46%,FL,Current,Individual,6000,2 years,45000.0,0,12,0,36,2,29.0,43.76206961077844,29.01,No
36 months,MORTGAGE,A,credit_card,8.46%,TX,Fully Paid,Individual,6000,< 1 year,60000.0,0,22,0,36,1,20.0,43.76206961077844,30.6,No
36 months,MORTGAGE,D,debt_consolidation,17.97%,CA,Current,Individual,10000,5 years,45000.0,1,11,0,36,5,59.0,43.76206961077844,9.25,No
